Country,Year,Disease,Disease Category,Prevalence,Incidence,Mortality,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Recovery Rate (%),Improvement in 5 Years (%),Urbanization Rate (%)
South Korea,2022,Cancer,Cardiovascular,10.58,13.73,5.85,214302.0,59.49,2.04,7.21,87.39,2.99,24.99
UK,2021,Asthma,Cardiovascular,8.4,14.37,3.71,859573.0,91.91,0.66,2.75,88.34,2.26,76.42
Argentina,2023,Cancer,Autoimmune,19.7,14.41,8.85,589726.0,82.74,4.32,8.39,67.07,6.81,34.81
Saudi Arabia,2021,Cancer,Metabolic,7.76,1.89,4.18,971934.0,50.75,1.57,1.02,82.35,3.04,77.82
Germany,2020,Hypertension,Viral,15.97,0.34,5.79,570859.0,55.74,0.51,9.97,68.95,7.89,39.02
USA,2022,Hypertension,Autoimmune,10.2,14.45,6.61,216618.0,86.04,3.53,5.47,87.13,4.54,48.29
France,2020,Asthma,Viral,6.04,3.91,5.57,388854.0,68.02,3.89,0.51,84.37,2.74,40.75
Germany,2022,Asthma,Cardiovascular,16.16,8.34,1.62,438385.0,64.54,2.24,5.63,53.32,3.32,54.08
Canada,2023,Cancer,Infectious,6.96,9.62,4.49,902931.0,96.5,1.7,3.28,68.35,3.06,89.53
Brazil,2020,Asthma,Genetic,2.47,5.67,5.66,435130.0,55.3,3.36,8.62,65.4,5.31,29.35
Argentina,2022,Asthma,Parasitic,19.91,8.5,2.79,895107.0,68.73,1.22,7.75,61.52,5.13,51.5
South Africa,2024,Asthma,Chronic,4.32,3.54,9.8,503053.0,72.49,3.88,6.53,91.38,8.96,31.34
India,2023,Hypertension,Infectious,15.7,2.12,0.8,437105.0,64.25,0.56,6.53,71.81,2.12,23.03
South Korea,2022,Diabetes,Cardiovascular,5.5,7.14,2.57,889852.0,73.08,4.45,9.8,93.58,9.64,34.08
Brazil,2023,Diabetes,Viral,3.73,11.83,6.67,548258.0,90.68,2.46,7.52,73.5,7.23,64.0
Mexico,2021,Cancer,Genetic,5.58,7.65,0.22,291414.0,69.49,1.19,1.39,57.26,9.57,45.78
Nigeria,2024,Hypertension,Parasitic,11.1,13.71,5.27,774109.0,85.2,3.52,4.1,55.58,9.76,76.45
Italy,2023,Diabetes,Autoimmune,12.19,3.44,2.25,660875.0,77.31,1.59,9.84,52.98,1.75,36.93
Nigeria,2023,Hypertension,Autoimmune,13.49,10.76,9.06,250198.0,65.91,3.75,0.84,57.66,5.99,74.24
France,2020,Asthma,Infectious,13.27,8.32,7.46,603879.0,95.82,1.46,5.56,67.34,8.88,40.88
Australia,2020,Cancer,Viral,10.17,6.45,4.9,316471.0,86.86,4.41,7.18,63.87,6.19,28.88
USA,2023,Asthma,Respiratory,11.38,1.84,7.03,256664.0,90.49,4.79,2.32,57.61,7.13,25.23
Mexico,2024,Asthma,Genetic,17.07,14.37,5.94,54670.0,54.25,2.46,2.2,54.08,4.01,74.43
Argentina,2022,Asthma,Cardiovascular,2.42,3.09,4.08,722869.0,69.26,4.97,2.96,81.68,3.85,44.6
India,2023,Asthma,Respiratory,3.79,11.48,0.33,300858.0,95.85,4.45,7.57,85.49,3.6,73.01
France,2021,Cancer,Neurological,8.18,12.09,0.39,262745.0,55.55,2.5,2.16,71.1,7.75,63.84
Japan,2021,Asthma,Parasitic,1.78,9.91,0.89,263538.0,82.18,1.23,4.27,87.25,1.94,67.02
Saudi Arabia,2020,Asthma,Viral,13.86,13.3,4.73,650160.0,87.82,1.2,8.03,89.08,5.37,30.33
Italy,2022,Hypertension,Respiratory,2.19,0.7,7.78,828378.0,65.28,2.28,8.81,66.09,2.13,81.88
Canada,2022,Diabetes,Viral,11.33,3.42,1.73,850376.0,69.77,0.76,6.53,82.53,5.4,25.54
Nigeria,2024,Cancer,Bacterial,4.2,5.98,5.22,327462.0,73.2,1.37,9.04,96.96,2.46,42.78
USA,2024,Cancer,Parasitic,0.69,14.54,7.8,957737.0,68.12,3.22,8.48,70.16,3.76,34.72
USA,2020,Hypertension,Genetic,7.93,2.57,2.76,669379.0,67.28,4.32,1.04,61.59,9.11,73.57
USA,2024,Cancer,Genetic,17.91,12.1,3.97,960185.0,75.84,2.01,2.26,62.42,6.26,64.29
South Africa,2024,Cancer,Cardiovascular,13.38,6.19,3.65,193095.0,71.86,3.47,6.3,96.1,1.83,24.6
Indonesia,2022,Diabetes,Neurological,18.57,5.38,6.53,941383.0,66.34,0.66,8.7,52.3,1.69,55.57
China,2022,Cancer,Viral,13.39,4.93,2.02,854303.0,51.82,1.32,9.87,72.23,7.47,27.48
Saudi Arabia,2022,Diabetes,Infectious,14.23,14.31,7.86,154822.0,95.93,1.55,7.18,83.9,3.86,88.52
UK,2020,Cancer,Infectious,2.2,14.44,3.85,419534.0,75.36,2.84,8.01,76.77,1.47,76.91
Argentina,2023,Asthma,Chronic,12.85,14.61,2.05,923652.0,79.69,3.52,6.71,61.17,4.04,59.48
UK,2021,Cancer,Viral,0.64,11.19,2.69,122324.0,65.75,1.64,9.32,89.56,5.98,20.37
South Korea,2024,Asthma,Bacterial,18.13,12.95,2.85,718154.0,89.67,1.21,6.18,80.15,3.38,31.62
Indonesia,2023,Cancer,Parasitic,10.69,0.84,1.9,939737.0,51.81,0.78,2.62,85.94,8.24,21.57
Turkey,2023,Asthma,Chronic,0.58,13.42,1.29,472583.0,69.6,2.49,9.48,53.01,4.38,34.23
Mexico,2022,Hypertension,Viral,11.6,7.92,9.74,290167.0,80.16,4.45,3.22,74.4,8.17,73.19
Indonesia,2024,Asthma,Chronic,7.92,10.02,6.63,651382.0,75.85,2.3,8.02,64.74,7.53,54.24
UK,2021,Diabetes,Bacterial,9.57,2.0,4.03,234355.0,62.29,2.89,6.56,94.67,4.25,27.74
South Africa,2020,Hypertension,Autoimmune,19.61,7.61,3.76,484210.0,84.97,4.22,6.28,60.23,7.46,40.92
South Africa,2020,Asthma,Autoimmune,6.58,13.67,1.32,122251.0,63.02,4.73,7.33,57.08,8.48,60.79
USA,2024,Cancer,Infectious,6.49,5.23,3.11,48917.0,58.65,3.31,6.72,73.37,9.27,20.96
Japan,2020,Diabetes,Bacterial,13.54,9.59,6.9,654819.0,64.05,3.94,4.06,53.46,9.42,21.99
South Africa,2023,Hypertension,Neurological,9.11,11.68,0.5,183873.0,87.79,2.38,4.21,97.44,7.65,32.27
USA,2022,Diabetes,Bacterial,1.05,2.49,5.0,47222.0,51.71,2.8,0.66,74.15,5.4,44.7
USA,2024,Asthma,Viral,3.28,2.25,4.44,200890.0,99.53,0.77,2.42,66.02,3.12,30.26
Canada,2024,Asthma,Infectious,6.1,1.5,1.73,498283.0,82.09,4.15,7.19,67.94,1.52,77.62
South Korea,2024,Diabetes,Cardiovascular,12.65,8.59,1.12,5805.0,63.45,1.03,2.7,72.85,2.88,24.65
France,2023,Cancer,Metabolic,10.31,13.73,4.52,858604.0,53.84,1.47,4.65,58.26,5.44,35.56
South Africa,2022,Diabetes,Cardiovascular,11.77,12.94,0.87,438186.0,85.82,4.79,9.83,88.41,2.62,29.3
Indonesia,2020,Cancer,Bacterial,2.03,11.48,3.11,221180.0,95.16,0.77,2.08,87.57,6.94,73.86
Argentina,2023,Cancer,Parasitic,16.66,9.16,3.27,428658.0,67.76,2.54,8.78,95.32,6.26,78.53
Germany,2024,Hypertension,Autoimmune,17.74,4.65,8.09,341722.0,74.69,0.79,7.54,81.93,4.84,27.88
Mexico,2023,Asthma,Cardiovascular,16.42,0.71,8.34,432061.0,59.62,4.71,8.4,97.54,4.64,40.57
Nigeria,2023,Hypertension,Genetic,12.19,0.53,1.37,558419.0,74.56,1.53,1.38,65.45,3.75,52.09
USA,2022,Diabetes,Chronic,12.33,3.2,0.84,576501.0,50.71,4.11,6.62,67.66,2.93,36.61
Italy,2021,Diabetes,Neurological,10.59,12.66,4.87,303068.0,66.98,1.72,6.54,62.39,9.25,28.14
Germany,2020,Asthma,Respiratory,8.29,6.51,3.88,551447.0,78.82,0.55,2.59,79.4,1.91,27.65
China,2021,Asthma,Metabolic,12.57,3.96,8.29,433183.0,95.37,1.5,6.54,96.33,2.16,89.71
South Korea,2021,Asthma,Respiratory,11.63,13.65,5.0,561548.0,64.69,3.73,2.49,63.1,2.31,22.97
Saudi Arabia,2020,Asthma,Autoimmune,9.72,2.69,8.76,876802.0,64.19,3.45,3.82,65.19,3.02,26.8
Canada,2024,Diabetes,Autoimmune,15.12,8.67,0.56,997031.0,53.62,2.16,3.17,59.21,0.26,24.47
USA,2022,Cancer,Genetic,1.3,5.18,5.09,767327.0,80.34,1.75,3.65,50.8,8.77,30.38
Nigeria,2021,Diabetes,Chronic,8.35,8.05,7.01,726357.0,81.07,1.27,8.3,69.55,4.16,82.96
Mexico,2022,Cancer,Neurological,6.77,3.19,8.85,384506.0,78.71,1.74,6.85,96.48,3.02,59.57
Saudi Arabia,2021,Hypertension,Cardiovascular,1.99,7.85,8.97,617864.0,93.36,1.47,7.04,61.09,0.92,29.83
Argentina,2023,Cancer,Metabolic,18.59,7.81,3.75,308766.0,71.86,3.41,8.13,55.68,4.92,73.02
Turkey,2020,Asthma,Parasitic,2.2,3.76,6.58,161713.0,74.62,1.81,6.33,72.35,4.23,49.37
Italy,2020,Hypertension,Bacterial,12.55,13.14,1.85,74951.0,66.57,3.0,7.34,98.83,2.31,51.94
Saudi Arabia,2022,Hypertension,Bacterial,18.09,14.42,2.15,535728.0,61.25,1.18,9.62,66.93,6.02,68.09
Italy,2021,Hypertension,Bacterial,5.13,13.28,3.73,815128.0,73.29,3.28,0.8,95.65,0.4,38.68
India,2022,Hypertension,Metabolic,3.59,10.93,6.67,135528.0,91.72,4.76,5.74,86.82,9.52,26.18
Nigeria,2024,Cancer,Chronic,7.92,12.17,4.48,481211.0,94.14,4.9,2.79,73.46,8.12,21.76
Japan,2020,Hypertension,Neurological,6.36,8.58,8.93,863412.0,86.41,3.2,4.6,84.71,5.02,50.97
UK,2023,Diabetes,Neurological,7.34,12.78,1.23,901265.0,61.48,4.18,8.0,56.55,1.09,30.44
Argentina,2021,Diabetes,Autoimmune,7.04,13.58,2.54,93080.0,90.87,4.64,3.67,93.78,0.87,21.77
Australia,2020,Asthma,Chronic,9.32,6.26,1.07,240667.0,61.48,4.09,3.47,84.59,4.74,44.34
Nigeria,2024,Hypertension,Neurological,12.11,12.24,1.2,164658.0,59.42,2.71,4.53,70.57,7.38,27.92
France,2020,Hypertension,Chronic,7.39,7.08,6.41,494939.0,99.19,4.15,8.66,79.18,1.73,53.19
Saudi Arabia,2020,Diabetes,Neurological,11.6,0.36,6.67,802391.0,57.8,4.44,2.61,98.87,0.13,83.3
UK,2023,Asthma,Cardiovascular,6.35,8.65,1.31,866844.0,61.49,0.66,9.12,74.95,7.48,55.33
Indonesia,2021,Hypertension,Infectious,9.64,2.08,2.86,735671.0,89.22,1.27,6.47,70.19,0.08,50.25
Indonesia,2020,Hypertension,Chronic,11.75,6.08,8.88,26672.0,96.26,2.56,7.86,94.23,5.93,41.52
Saudi Arabia,2023,Diabetes,Neurological,16.94,12.48,9.86,686678.0,64.07,1.82,6.93,51.71,7.14,31.46
Argentina,2022,Diabetes,Viral,17.23,4.68,0.4,593891.0,62.06,0.7,6.75,73.74,1.52,23.39
Mexico,2022,Asthma,Cardiovascular,13.23,4.07,8.92,948811.0,88.43,2.65,4.84,55.67,1.11,34.93
Germany,2020,Hypertension,Infectious,13.24,5.1,6.18,822362.0,63.99,1.58,5.51,67.47,2.97,22.23
Russia,2024,Diabetes,Parasitic,18.13,8.17,9.55,397244.0,51.98,2.24,1.49,63.15,0.84,62.67
Canada,2023,Cancer,Infectious,12.91,2.56,4.46,290985.0,98.69,1.55,4.21,69.41,4.71,79.45
India,2021,Asthma,Viral,12.2,7.7,3.25,16347.0,86.59,3.97,0.72,76.49,6.33,52.79
Russia,2023,Cancer,Parasitic,19.16,4.52,1.63,254819.0,83.06,2.82,7.36,76.4,5.27,59.1
Germany,2021,Cancer,Infectious,0.46,14.06,9.66,627597.0,58.06,4.99,8.44,68.44,4.4,50.5
India,2021,Diabetes,Bacterial,16.2,6.6,4.08,230251.0,53.01,4.74,5.94,60.53,4.7,58.86
USA,2021,Diabetes,Genetic,9.38,12.85,3.07,389031.0,76.89,2.74,0.61,60.21,3.56,63.66
South Korea,2024,Hypertension,Neurological,4.01,11.11,4.19,635302.0,69.11,1.13,0.96,78.16,8.84,78.5
South Korea,2022,Hypertension,Neurological,9.03,8.89,3.33,352315.0,59.11,2.01,3.04,52.31,2.83,30.46
Argentina,2023,Asthma,Cardiovascular,10.49,14.54,6.31,445299.0,66.1,0.81,1.32,67.44,2.83,70.94
China,2023,Cancer,Respiratory,6.92,9.26,4.42,830748.0,94.22,2.28,9.04,70.64,8.65,73.49
USA,2024,Asthma,Viral,19.9,2.96,5.89,426363.0,84.18,2.32,8.06,64.94,6.83,84.98
Brazil,2022,Asthma,Viral,0.78,6.13,2.23,338964.0,81.43,4.69,8.44,50.37,4.23,38.17
Canada,2021,Hypertension,Genetic,1.34,4.57,5.89,625761.0,58.09,1.68,8.67,75.93,1.62,80.38
Saudi Arabia,2022,Asthma,Metabolic,18.43,3.39,1.74,985661.0,69.17,1.36,7.56,74.72,9.31,45.45
Mexico,2022,Asthma,Infectious,0.43,11.11,0.67,686632.0,77.54,1.2,5.91,73.18,9.04,29.03
South Korea,2023,Cancer,Viral,5.73,14.39,3.48,436159.0,95.73,3.38,9.92,74.16,2.45,56.36
UK,2021,Cancer,Neurological,2.7,2.28,8.83,854621.0,54.9,2.26,1.53,62.83,2.26,72.22
Indonesia,2023,Cancer,Viral,19.21,4.4,6.5,403951.0,83.76,0.96,6.63,91.72,4.5,33.26
China,2021,Diabetes,Viral,2.58,1.25,9.02,39780.0,96.65,3.63,8.41,56.37,1.36,54.4
Brazil,2022,Diabetes,Autoimmune,8.11,13.37,7.43,892968.0,60.41,2.24,1.15,82.23,1.89,62.85
South Africa,2023,Asthma,Cardiovascular,9.11,12.74,9.17,930364.0,70.19,1.37,4.73,59.18,2.66,40.7
Germany,2022,Asthma,Respiratory,2.85,10.87,7.94,484741.0,78.04,3.31,8.83,71.63,8.0,20.45
UK,2020,Diabetes,Chronic,5.35,3.99,0.84,373015.0,78.21,1.38,9.8,67.06,6.4,23.61
Canada,2024,Cancer,Cardiovascular,13.95,2.26,2.36,263594.0,68.48,3.83,7.97,92.13,3.48,65.35
Brazil,2020,Cancer,Parasitic,12.87,5.83,8.97,178869.0,58.56,3.03,3.7,60.02,3.29,61.03
China,2021,Diabetes,Infectious,12.33,6.54,4.5,219154.0,64.37,4.04,9.63,95.64,6.39,64.12
Germany,2024,Diabetes,Infectious,3.72,1.79,4.26,821782.0,83.21,3.14,1.25,54.3,1.38,27.76
Italy,2024,Hypertension,Cardiovascular,7.31,6.65,6.75,879037.0,80.57,1.85,8.79,64.29,1.7,55.79
Mexico,2024,Hypertension,Bacterial,18.4,0.75,3.61,834861.0,50.13,3.98,3.78,77.66,1.04,77.9
Italy,2021,Asthma,Chronic,3.46,14.61,5.41,378698.0,53.4,2.17,7.29,79.11,4.23,22.68
South Africa,2020,Asthma,Neurological,11.06,8.05,9.02,718462.0,63.66,0.91,1.29,90.68,7.78,33.45
UK,2022,Diabetes,Chronic,19.94,9.38,3.93,896935.0,95.6,4.97,9.07,70.78,6.88,29.65
India,2020,Cancer,Genetic,5.15,11.27,3.44,654956.0,67.35,2.57,6.5,78.03,4.45,43.44
South Africa,2021,Hypertension,Infectious,9.09,3.11,5.78,631426.0,61.79,3.63,7.43,74.87,3.32,31.27
India,2020,Cancer,Neurological,9.5,13.57,6.03,205471.0,97.71,1.18,6.9,91.47,4.74,59.46
South Korea,2024,Cancer,Viral,5.5,11.6,5.23,986037.0,95.77,4.68,6.26,73.96,4.37,59.33
Germany,2020,Cancer,Parasitic,4.89,0.84,9.52,725703.0,99.01,1.26,1.52,98.25,8.77,33.13
USA,2023,Hypertension,Cardiovascular,18.63,6.71,7.36,353741.0,61.17,2.85,3.8,85.45,2.04,28.54
Italy,2021,Cancer,Cardiovascular,10.84,9.98,4.67,149926.0,81.32,4.29,0.7,98.37,1.74,66.04
USA,2020,Hypertension,Viral,1.69,1.72,8.59,684146.0,50.58,3.02,1.36,98.29,2.11,31.97
Saudi Arabia,2022,Diabetes,Viral,9.08,0.85,4.21,662760.0,96.15,1.59,8.85,73.31,3.66,73.32
South Korea,2024,Asthma,Chronic,15.42,1.27,1.18,999812.0,91.46,1.95,4.51,66.44,9.7,50.28
USA,2021,Asthma,Infectious,18.8,1.82,6.73,593781.0,68.09,3.5,4.05,52.98,7.73,44.63
UK,2024,Cancer,Viral,9.15,0.75,2.98,237517.0,82.39,1.93,8.33,53.33,9.69,25.56
Nigeria,2021,Diabetes,Parasitic,5.28,6.33,8.85,788730.0,97.22,3.79,3.0,92.42,7.38,51.27
Canada,2020,Cancer,Respiratory,8.35,14.92,6.1,104958.0,51.16,4.42,9.78,87.55,0.47,81.49
Italy,2023,Hypertension,Respiratory,12.54,11.16,7.97,868463.0,69.17,4.35,0.62,53.89,9.46,51.66
Japan,2020,Diabetes,Respiratory,10.31,1.89,2.35,626102.0,86.03,2.11,3.35,71.6,7.0,87.35
Russia,2021,Hypertension,Viral,6.05,6.91,6.91,605469.0,95.55,2.47,8.86,93.51,6.21,90.0
Saudi Arabia,2023,Diabetes,Viral,3.27,13.55,2.64,610268.0,58.47,2.29,5.74,91.1,1.84,65.38
Japan,2024,Asthma,Infectious,6.34,1.76,8.79,966204.0,85.56,1.6,3.07,87.56,0.96,41.83
China,2024,Cancer,Genetic,19.31,14.12,9.2,995870.0,63.83,4.14,5.57,55.91,4.35,37.97
South Korea,2022,Diabetes,Autoimmune,3.82,1.95,0.98,587302.0,81.49,3.72,9.69,66.25,2.77,87.59
Argentina,2022,Diabetes,Viral,8.31,10.01,5.46,707880.0,69.95,0.75,4.92,96.89,5.92,83.5
Turkey,2022,Hypertension,Metabolic,3.86,4.44,1.89,417778.0,63.98,0.59,7.74,60.58,6.38,55.74
France,2024,Hypertension,Autoimmune,0.59,10.29,1.73,147175.0,69.47,3.88,4.02,52.8,2.79,53.63
Canada,2021,Diabetes,Chronic,13.64,2.18,0.65,55965.0,88.28,3.84,3.84,71.91,2.28,88.56
Argentina,2023,Hypertension,Respiratory,1.64,13.35,6.99,271939.0,61.7,3.59,5.57,57.13,7.47,75.95
Argentina,2022,Cancer,Genetic,12.99,5.91,8.66,509917.0,87.85,2.45,6.21,68.96,0.87,50.84
South Korea,2022,Asthma,Cardiovascular,10.24,6.54,4.28,749130.0,81.02,3.68,3.36,60.86,9.8,77.3
Argentina,2024,Cancer,Parasitic,17.36,3.7,1.29,600078.0,82.67,0.86,1.57,90.06,5.07,84.87
Germany,2024,Cancer,Infectious,1.56,8.14,6.41,134624.0,73.08,3.35,10.0,90.32,7.62,31.75
Nigeria,2024,Hypertension,Metabolic,6.33,13.21,9.45,592160.0,77.55,3.1,9.46,96.47,7.01,39.45
Germany,2024,Cancer,Bacterial,18.34,14.54,1.24,675203.0,65.47,2.0,7.54,58.24,5.27,80.54
China,2022,Asthma,Respiratory,7.27,11.17,2.5,671917.0,91.0,4.78,2.0,65.32,3.6,24.05
USA,2023,Asthma,Metabolic,2.92,14.16,6.78,848101.0,88.29,4.24,1.88,83.66,7.74,47.6
Nigeria,2024,Asthma,Respiratory,18.85,11.0,7.08,164637.0,89.23,4.55,8.23,88.67,0.3,25.57
Italy,2024,Asthma,Chronic,12.67,8.16,1.13,908428.0,50.2,3.76,6.11,81.91,8.47,36.28
Turkey,2020,Hypertension,Autoimmune,4.44,5.07,6.12,370238.0,93.74,1.66,8.4,78.99,3.43,80.01
Turkey,2023,Cancer,Respiratory,18.06,2.13,4.23,120684.0,56.59,3.25,3.66,56.91,6.75,80.83
Germany,2021,Cancer,Chronic,13.23,11.95,0.36,924295.0,90.99,0.58,8.37,64.58,0.17,63.94
USA,2020,Hypertension,Respiratory,1.82,1.24,2.89,8885.0,78.94,1.82,2.14,87.38,6.6,25.98
South Korea,2020,Asthma,Genetic,0.8,11.75,9.9,408656.0,93.33,1.83,4.0,94.37,5.17,55.26
Japan,2020,Diabetes,Chronic,9.55,2.35,8.48,916732.0,64.47,3.62,0.5,78.45,1.57,28.84
Italy,2021,Hypertension,Genetic,19.46,0.68,9.4,382484.0,56.6,3.24,6.33,63.39,3.42,79.54
Canada,2020,Cancer,Metabolic,8.31,10.63,4.2,174416.0,62.21,0.65,7.44,74.66,5.28,73.11
Mexico,2022,Asthma,Viral,9.7,10.18,0.82,569217.0,82.65,4.09,2.72,55.82,7.9,62.45
USA,2024,Cancer,Viral,10.23,2.45,4.49,955628.0,88.92,2.59,3.35,98.43,5.94,58.04
South Korea,2024,Asthma,Cardiovascular,2.57,11.23,2.55,132656.0,59.48,4.6,5.2,94.83,5.61,31.04
UK,2024,Asthma,Chronic,9.49,6.6,5.74,231594.0,51.29,4.72,2.44,68.23,8.13,24.43
Australia,2022,Asthma,Genetic,19.98,7.96,8.84,609606.0,97.87,4.51,5.23,94.18,6.52,78.4
China,2021,Cancer,Chronic,13.49,7.49,7.24,926858.0,96.69,4.8,5.49,79.42,7.81,73.0
Brazil,2022,Hypertension,Infectious,0.12,3.12,9.97,865091.0,59.15,2.25,5.23,76.11,2.35,50.8
USA,2022,Cancer,Metabolic,1.04,13.96,8.97,951663.0,53.98,3.33,2.73,84.72,5.27,32.94
China,2022,Diabetes,Neurological,2.04,2.47,7.25,703621.0,74.92,1.9,9.49,50.03,8.22,62.2
UK,2021,Hypertension,Cardiovascular,9.25,10.87,8.6,588937.0,91.95,3.15,4.71,90.43,5.05,89.15
India,2023,Cancer,Genetic,0.14,0.66,8.02,842163.0,82.83,1.01,10.0,57.43,0.55,78.05
South Korea,2020,Hypertension,Bacterial,15.22,4.22,5.48,735254.0,53.22,1.75,2.89,55.1,2.3,39.17
Saudi Arabia,2024,Cancer,Viral,11.4,1.74,0.72,554632.0,70.23,1.36,9.39,53.73,1.66,86.85
Argentina,2023,Asthma,Parasitic,16.86,11.83,1.53,839629.0,99.88,4.09,9.32,93.73,4.18,53.7
Japan,2021,Diabetes,Respiratory,12.56,4.35,6.1,426060.0,99.11,4.94,1.95,83.97,1.19,75.82
Canada,2024,Hypertension,Parasitic,15.83,5.36,7.54,886235.0,79.53,4.72,9.75,63.46,9.52,26.22
South Africa,2021,Asthma,Autoimmune,14.69,13.05,2.65,797154.0,79.45,4.64,1.47,68.14,0.14,45.95
France,2022,Diabetes,Autoimmune,10.79,8.01,8.82,6874.0,50.08,1.96,6.72,77.77,2.46,51.54
Argentina,2024,Hypertension,Viral,1.51,11.56,1.36,359112.0,68.54,0.62,8.97,68.03,7.4,43.99
South Korea,2020,Asthma,Autoimmune,18.14,12.11,8.85,553209.0,92.24,3.23,1.36,77.86,0.63,67.2
Canada,2021,Cancer,Viral,7.55,12.9,7.15,566646.0,70.37,2.0,8.37,91.41,7.64,39.28
Saudi Arabia,2024,Hypertension,Infectious,19.74,12.15,5.62,102065.0,67.26,2.38,7.49,59.58,5.82,20.36
Brazil,2022,Cancer,Metabolic,12.61,12.21,6.67,102592.0,95.56,2.86,2.3,56.07,2.96,85.14
Canada,2021,Cancer,Bacterial,15.71,7.33,6.24,918367.0,64.58,0.68,8.45,96.75,4.68,31.05
Brazil,2022,Hypertension,Autoimmune,17.5,2.87,3.78,448564.0,90.63,3.31,8.02,85.83,3.31,89.18
Germany,2022,Asthma,Parasitic,10.93,3.5,7.24,505044.0,79.62,2.92,7.25,63.17,5.87,54.05
France,2024,Asthma,Viral,11.19,5.1,8.88,460857.0,92.48,3.24,8.67,96.0,2.19,54.15
South Korea,2020,Asthma,Cardiovascular,13.12,14.36,2.2,232813.0,57.62,1.99,0.83,73.77,2.73,36.55
Mexico,2021,Hypertension,Infectious,4.16,8.43,4.1,119380.0,81.16,1.23,0.68,97.02,8.58,66.96
USA,2022,Hypertension,Genetic,15.17,9.56,1.58,102659.0,80.74,0.92,8.68,96.94,8.17,75.41
Australia,2023,Hypertension,Respiratory,4.17,7.6,2.01,50822.0,80.66,4.85,1.28,89.39,3.13,79.53
Germany,2021,Diabetes,Autoimmune,16.65,9.07,7.49,827952.0,57.62,0.61,8.39,70.15,4.44,65.79
Canada,2020,Diabetes,Autoimmune,14.46,8.23,3.58,301209.0,63.8,1.18,9.49,94.63,8.96,50.42
China,2021,Diabetes,Cardiovascular,8.65,9.4,7.86,969919.0,50.36,4.44,7.18,94.94,2.74,85.62
Germany,2023,Diabetes,Genetic,6.42,11.99,3.98,475120.0,63.52,4.66,6.27,83.88,4.53,21.98
India,2021,Diabetes,Bacterial,3.03,4.57,4.7,563536.0,88.7,4.09,0.81,91.14,0.35,57.72
Canada,2022,Asthma,Genetic,19.25,5.6,3.2,311578.0,50.28,1.3,3.27,84.34,9.59,32.13
Canada,2022,Hypertension,Genetic,13.55,6.57,1.73,217502.0,53.98,4.55,8.14,72.68,0.29,53.12
Germany,2022,Diabetes,Metabolic,4.47,12.24,5.35,836651.0,74.76,0.54,8.36,53.63,1.31,39.92
France,2020,Cancer,Viral,8.41,5.93,5.92,487418.0,97.94,0.75,6.64,82.69,7.19,63.22
Australia,2024,Asthma,Viral,16.37,14.18,4.88,204478.0,65.52,4.57,6.31,91.8,2.11,23.36
Turkey,2020,Cancer,Bacterial,6.64,13.27,9.05,544252.0,81.82,3.43,3.91,95.65,2.55,59.98
Indonesia,2020,Hypertension,Autoimmune,12.53,4.51,4.29,922718.0,87.86,0.98,5.39,88.45,2.21,60.31
Italy,2022,Cancer,Cardiovascular,15.61,6.22,8.25,707593.0,50.97,1.95,6.12,87.79,4.24,25.71
UK,2020,Asthma,Bacterial,8.92,10.28,8.1,138852.0,63.91,0.88,3.9,86.6,8.54,49.04
South Korea,2023,Cancer,Neurological,4.96,12.52,1.93,991118.0,94.49,2.89,7.39,70.79,0.59,47.37
South Korea,2021,Asthma,Genetic,13.28,11.4,2.98,900792.0,56.91,3.14,4.3,78.13,8.54,53.93
India,2020,Cancer,Viral,12.55,13.12,5.77,175504.0,74.7,4.79,9.13,81.89,7.8,67.41
Australia,2024,Cancer,Respiratory,12.82,10.5,6.5,50674.0,52.92,1.72,6.84,57.6,7.25,68.82
Turkey,2021,Asthma,Neurological,5.37,13.58,2.28,457063.0,65.57,2.8,2.3,63.34,9.14,86.51
Russia,2020,Diabetes,Parasitic,7.81,0.67,7.93,602784.0,74.35,3.62,8.82,77.06,0.63,80.17
South Korea,2022,Hypertension,Cardiovascular,0.7,5.77,5.36,186429.0,92.06,0.91,5.55,86.97,3.81,78.99
Saudi Arabia,2024,Cancer,Parasitic,16.76,3.89,0.44,741366.0,59.43,5.0,1.95,61.51,4.03,64.96
Turkey,2022,Hypertension,Metabolic,7.81,4.95,1.39,262999.0,71.15,4.95,7.61,50.62,5.04,81.47
Saudi Arabia,2024,Hypertension,Autoimmune,18.72,0.27,9.23,339135.0,87.37,2.86,2.62,86.73,7.84,76.76
Germany,2024,Diabetes,Chronic,6.32,6.89,1.65,718852.0,63.03,4.9,9.37,79.35,7.57,67.86
Germany,2022,Cancer,Cardiovascular,7.85,13.28,9.69,505022.0,84.85,3.91,2.46,76.4,3.03,67.14
Italy,2022,Hypertension,Parasitic,7.0,12.86,7.19,291682.0,94.14,1.88,5.96,69.68,6.93,57.21
Russia,2024,Cancer,Chronic,14.62,3.26,4.76,123266.0,92.15,1.97,8.9,77.9,3.21,59.69
USA,2023,Diabetes,Metabolic,15.74,12.6,0.4,914843.0,91.83,2.23,8.88,84.65,4.23,86.21
Turkey,2024,Hypertension,Metabolic,6.59,11.45,1.75,473466.0,74.24,0.52,1.23,71.35,8.88,81.28
